time,p_set,q_set
2024-01-01 00:00:00,26.9,13.0
2024-01-01 01:00:00,73.4,35.6
2024-01-01 02:00:00,154.6,74.9
2024-01-01 03:00:00,51.6,25.0
2024-01-01 04:00:00,137.2,66.4
2024-01-01 05:00:00,88.6,42.9
2024-01-01 06:00:00,255.0,123.5
2024-01-01 07:00:00,309.8,150.0
2024-01-01 08:00:00,359.7,174.2
2024-01-01 09:00:00,401.7,194.5
2024-01-01 10:00:00,488.9,236.8
2024-01-01 11:00:00,493.2,238.9
2024-01-01 12:00:00,481.8,233.3
2024-01-01 13:00:00,525.4,254.5
2024-01-01 14:00:00,462.9,224.2
2024-01-01 15:00:00,587.6,284.6
2024-01-01 16:00:00,448.2,217.1
2024-01-01 17:00:00,342.5,165.9
2024-01-01 18:00:00,224.3,108.6
2024-01-01 19:00:00,174.7,84.6
2024-01-01 20:00:00,136.6,66.2
2024-01-01 21:00:00,35.2,17.0
2024-01-01 22:00:00,72.2,35.0
2024-01-01 23:00:00,109.5,53.0
