# time [UTC+00], p_set [MW], q_set [MVAR] (power_factor=0.9)
time,p_set,q_set
2024-01-01 00:00:00,0.1003,0.0486
2024-01-01 01:00:00,0.0615,0.0298
2024-01-01 02:00:00,0.1159,0.0562
2024-01-01 03:00:00,0.0978,0.0473
2024-01-01 04:00:00,0.1174,0.0569
2024-01-01 05:00:00,0.1615,0.0782
2024-01-01 06:00:00,0.2205,0.1068
2024-01-01 07:00:00,0.2671,0.1294
2024-01-01 08:00:00,0.3784,0.1833
2024-01-01 09:00:00,0.4152,0.2011
2024-01-01 10:00:00,0.4584,0.222
2024-01-01 11:00:00,0.474,0.2296
2024-01-01 12:00:00,0.4704,0.2278
2024-01-01 13:00:00,0.5166,0.2502
2024-01-01 14:00:00,0.5223,0.253
2024-01-01 15:00:00,0.4895,0.2371
2024-01-01 16:00:00,0.4318,0.2091
2024-01-01 17:00:00,0.3758,0.182
2024-01-01 18:00:00,0.2391,0.1158
2024-01-01 19:00:00,0.1482,0.0718
2024-01-01 20:00:00,0.0511,0.0247
2024-01-01 21:00:00,0.0998,0.0483
2024-01-01 22:00:00,0.1032,0.05
2024-01-01 23:00:00,0.097,0.047
