# time [UTC+00], p_set [MW], q_set [MVAR] (power_factor=0.9)
time,p_set,q_set
2024-01-01 00:00:00,0.3398,0.1646
2024-01-01 01:00:00,0.3379,0.1636
2024-01-01 02:00:00,0.3203,0.1551
2024-01-01 03:00:00,0.3154,0.1527
2024-01-01 04:00:00,0.3519,0.1704
2024-01-01 05:00:00,0.3845,0.1862
2024-01-01 06:00:00,0.3696,0.179
2024-01-01 07:00:00,0.3957,0.1916
2024-01-01 08:00:00,0.4953,0.2399
2024-01-01 09:00:00,0.4655,0.2255
2024-01-01 10:00:00,0.4259,0.2063
2024-01-01 11:00:00,0.4854,0.2351
2024-01-01 12:00:00,0.4986,0.2415
2024-01-01 13:00:00,0.4535,0.2196
2024-01-01 14:00:00,0.5166,0.2502
2024-01-01 15:00:00,0.4932,0.2389
2024-01-01 16:00:00,0.4436,0.2149
2024-01-01 17:00:00,0.3912,0.1894
2024-01-01 18:00:00,0.2823,0.1367
2024-01-01 19:00:00,0.3091,0.1497
2024-01-01 20:00:00,0.2712,0.1314
2024-01-01 21:00:00,0.3272,0.1585
2024-01-01 22:00:00,0.3206,0.1553
2024-01-01 23:00:00,0.3114,0.1508
