snapshot,p_set,q_set
2024-01-01 00:00:00,0.1182,0.0573
2024-01-01 01:00:00,0.0941,0.0456
2024-01-01 02:00:00,0.0658,0.0319
2024-01-01 03:00:00,0.0878,0.0425
2024-01-01 04:00:00,0.1004,0.0486
2024-01-01 05:00:00,0.158,0.0765
2024-01-01 06:00:00,0.1865,0.0903
2024-01-01 07:00:00,0.1885,0.0913
2024-01-01 08:00:00,0.0873,0.0423
2024-01-01 09:00:00,0.1848,0.0895
2024-01-01 10:00:00,0.1493,0.0723
2024-01-01 11:00:00,0.1309,0.0634
2024-01-01 12:00:00,0.1277,0.0618
2024-01-01 13:00:00,0.1891,0.0916
2024-01-01 14:00:00,0.2051,0.0993
2024-01-01 15:00:00,0.2342,0.1134
2024-01-01 16:00:00,0.3076,0.149
2024-01-01 17:00:00,0.3296,0.1596
2024-01-01 18:00:00,0.3541,0.1715
2024-01-01 19:00:00,0.4335,0.21
2024-01-01 20:00:00,0.3426,0.1659
2024-01-01 21:00:00,0.334,0.1617
2024-01-01 22:00:00,0.2185,0.1058
2024-01-01 23:00:00,0.2641,0.1279
2024-01-02 00:00:00,0.1182,0.0573
2024-01-02 01:00:00,0.0941,0.0456
2024-01-02 02:00:00,0.0658,0.0319
2024-01-02 03:00:00,0.0878,0.0425
2024-01-02 04:00:00,0.1004,0.0486
2024-01-02 05:00:00,0.158,0.0765
2024-01-02 06:00:00,0.1865,0.0903
2024-01-02 07:00:00,0.1885,0.0913
2024-01-02 08:00:00,0.0873,0.0423
2024-01-02 09:00:00,0.1848,0.0895
2024-01-02 10:00:00,0.1493,0.0723
2024-01-02 11:00:00,0.1309,0.0634
2024-01-02 12:00:00,0.1277,0.0618
2024-01-02 13:00:00,0.1891,0.0916
2024-01-02 14:00:00,0.2051,0.0993
2024-01-02 15:00:00,0.2342,0.1134
2024-01-02 16:00:00,0.3076,0.149
2024-01-02 17:00:00,0.3296,0.1596
2024-01-02 18:00:00,0.3541,0.1715
2024-01-02 19:00:00,0.4335,0.21
2024-01-02 20:00:00,0.3426,0.1659
2024-01-02 21:00:00,0.334,0.1617
2024-01-02 22:00:00,0.2185,0.1058
2024-01-02 23:00:00,0.2641,0.1279
2024-01-03 00:00:00,0.1182,0.0573
2024-01-03 01:00:00,0.0941,0.0456
2024-01-03 02:00:00,0.0658,0.0319
2024-01-03 03:00:00,0.0878,0.0425
2024-01-03 04:00:00,0.1004,0.0486
2024-01-03 05:00:00,0.158,0.0765
2024-01-03 06:00:00,0.1865,0.0903
2024-01-03 07:00:00,0.1885,0.0913
2024-01-03 08:00:00,0.0873,0.0423
2024-01-03 09:00:00,0.1848,0.0895
2024-01-03 10:00:00,0.1493,0.0723
2024-01-03 11:00:00,0.1309,0.0634
2024-01-03 12:00:00,0.1277,0.0618
2024-01-03 13:00:00,0.1891,0.0916
2024-01-03 14:00:00,0.2051,0.0993
