# time [UTC+00], p_set [MW], q_set [MVAR] (power_factor=0.9)
time,p_set,q_set
2024-01-01 00:00:00,0.1328,0.0643
2024-01-01 01:00:00,0.0547,0.0265
2024-01-01 02:00:00,0.1003,0.0486
2024-01-01 03:00:00,0.0745,0.0361
2024-01-01 04:00:00,0.1134,0.0549
2024-01-01 05:00:00,0.1377,0.0667
2024-01-01 06:00:00,0.1861,0.0901
2024-01-01 07:00:00,0.2433,0.1178
2024-01-01 08:00:00,0.1807,0.0875
2024-01-01 09:00:00,0.1346,0.0652
2024-01-01 10:00:00,0.1256,0.0609
2024-01-01 11:00:00,0.1058,0.0512
2024-01-01 12:00:00,0.1741,0.0843
2024-01-01 13:00:00,0.1628,0.0789
2024-01-01 14:00:00,0.1946,0.0942
2024-01-01 15:00:00,0.2361,0.1144
2024-01-01 16:00:00,0.2428,0.1176
2024-01-01 17:00:00,0.3947,0.1911
2024-01-01 18:00:00,0.3714,0.1799
2024-01-01 19:00:00,0.4036,0.1954
2024-01-01 20:00:00,0.3277,0.1587
2024-01-01 21:00:00,0.301,0.1458
2024-01-01 22:00:00,0.216,0.1046
2024-01-01 23:00:00,0.204,0.0988
