time,p_max_pu
2024-01-01 00:00:00,0.0
2024-01-01 01:00:00,0.0585
2024-01-01 02:00:00,0.0
2024-01-01 03:00:00,0.0
2024-01-01 04:00:00,0.1268
2024-01-01 05:00:00,0.2209
2024-01-01 06:00:00,0.5962
2024-01-01 07:00:00,0.6997
2024-01-01 08:00:00,1.0
2024-01-01 09:00:00,0.9854
2024-01-01 10:00:00,0.8473
2024-01-01 11:00:00,0.6394
2024-01-01 12:00:00,0.5641
2024-01-01 13:00:00,0.3395
2024-01-01 14:00:00,0.0586
2024-01-01 15:00:00,0.0
2024-01-01 16:00:00,0.0271
2024-01-01 17:00:00,0.0026
2024-01-01 18:00:00,0.0
2024-01-01 19:00:00,0.0
2024-01-01 20:00:00,0.0
2024-01-01 21:00:00,0.0585
2024-01-01 22:00:00,0.0391
2024-01-01 23:00:00,0.0051
2024-01-02 00:00:00,0.0139
2024-01-02 01:00:00,0.0
2024-01-02 02:00:00,0.0614
2024-01-02 03:00:00,0.0218
2024-01-02 04:00:00,0.0773
2024-01-02 05:00:00,0.2598
2024-01-02 06:00:00,0.5458
2024-01-02 07:00:00,0.7521
2024-01-02 08:00:00,0.821
2024-01-02 09:00:00,0.962
2024-01-02 10:00:00,0.9457
2024-01-02 11:00:00,0.7031
2024-01-02 12:00:00,0.5934
2024-01-02 13:00:00,0.3122
2024-01-02 14:00:00,0.1217
2024-01-02 15:00:00,0.0341
2024-01-02 16:00:00,0.0
2024-01-02 17:00:00,0.0206
2024-01-02 18:00:00,0.0
2024-01-02 19:00:00,0.0
2024-01-02 20:00:00,0.0
2024-01-02 21:00:00,0.0243
2024-01-02 22:00:00,0.0173
2024-01-02 23:00:00,0.0464
2024-01-03 00:00:00,0.0263
2024-01-03 01:00:00,0.0395
2024-01-03 02:00:00,0.046
2024-01-03 03:00:00,0.0
2024-01-03 04:00:00,0.0559
2024-01-03 05:00:00,0.129
2024-01-03 06:00:00,0.4152
2024-01-03 07:00:00,0.7293
2024-01-03 08:00:00,0.9746
2024-01-03 09:00:00,1.0
2024-01-03 10:00:00,0.8462
2024-01-03 11:00:00,0.5823
2024-01-03 12:00:00,0.5126
2024-01-03 13:00:00,0.3303
2024-01-03 14:00:00,0.2055
2024-01-03 15:00:00,0.0499
2024-01-03 16:00:00,0.0071
2024-01-03 17:00:00,0.0385
2024-01-03 18:00:00,0.0221
2024-01-03 19:00:00,0.0212
2024-01-03 20:00:00,0.0182
2024-01-03 21:00:00,0.0
2024-01-03 22:00:00,0.0321
2024-01-03 23:00:00,0.0649
2024-01-04 00:00:00,0.0644
2024-01-04 01:00:00,0.0
2024-01-04 02:00:00,0.0
2024-01-04 03:00:00,0.0
2024-01-04 04:00:00,0.0
2024-01-04 05:00:00,0.2074
2024-01-04 06:00:00,0.5485
2024-01-04 07:00:00,0.6365
2024-01-04 08:00:00,0.9641
2024-01-04 09:00:00,0.9877
2024-01-04 10:00:00,0.8515
2024-01-04 11:00:00,0.7087
2024-01-04 12:00:00,0.4139
2024-01-04 13:00:00,0.362
2024-01-04 14:00:00,0.0927
2024-01-04 15:00:00,0.0
2024-01-04 16:00:00,0.0
2024-01-04 17:00:00,0.0
2024-01-04 18:00:00,0.0
2024-01-04 19:00:00,0.0441
2024-01-04 20:00:00,0.042
2024-01-04 21:00:00,0.0394
2024-01-04 22:00:00,0.0059
2024-01-04 23:00:00,0.0342
2024-01-05 00:00:00,0.0853
2024-01-05 01:00:00,0.0157
2024-01-05 02:00:00,0.0
2024-01-05 03:00:00,0.0
2024-01-05 04:00:00,0.0154
2024-01-05 05:00:00,0.2046
2024-01-05 06:00:00,0.4667
2024-01-05 07:00:00,0.6965
2024-01-05 08:00:00,0.9388
2024-01-05 09:00:00,1.0
2024-01-05 10:00:00,0.8495
2024-01-05 11:00:00,0.7935
2024-01-05 12:00:00,0.5114
2024-01-05 13:00:00,0.3698
2024-01-05 14:00:00,0.1626
2024-01-05 15:00:00,0.0649
2024-01-05 16:00:00,0.0112
2024-01-05 17:00:00,0.0286
2024-01-05 18:00:00,0.0281
2024-01-05 19:00:00,0.0353
2024-01-05 20:00:00,0.0
2024-01-05 21:00:00,0.0453
2024-01-05 22:00:00,0.0
2024-01-05 23:00:00,0.0
2024-01-06 00:00:00,0.0
2024-01-06 01:00:00,0.0077
2024-01-06 02:00:00,0.0385
2024-01-06 03:00:00,0.0
2024-01-06 04:00:00,0.0
2024-01-06 05:00:00,0.2401
2024-01-06 06:00:00,0.5578
2024-01-06 07:00:00,0.6905
2024-01-06 08:00:00,0.8271
2024-01-06 09:00:00,0.8736
2024-01-06 10:00:00,0.8532
2024-01-06 11:00:00,0.6399
2024-01-06 12:00:00,0.4326
2024-01-06 13:00:00,0.2935
2024-01-06 14:00:00,0.14
2024-01-06 15:00:00,0.0
2024-01-06 16:00:00,0.0514
2024-01-06 17:00:00,0.0281
2024-01-06 18:00:00,0.0609
2024-01-06 19:00:00,0.0
2024-01-06 20:00:00,0.071
2024-01-06 21:00:00,0.0174
2024-01-06 22:00:00,0.0274
2024-01-06 23:00:00,0.0
2024-01-07 00:00:00,0.0
2024-01-07 01:00:00,0.0159
2024-01-07 02:00:00,0.0
2024-01-07 03:00:00,0.0537
2024-01-07 04:00:00,0.0
2024-01-07 05:00:00,0.1944
2024-01-07 06:00:00,0.5231
2024-01-07 07:00:00,0.6839
2024-01-07 08:00:00,0.9098
2024-01-07 09:00:00,0.9742
2024-01-07 10:00:00,0.9263
2024-01-07 11:00:00,0.7113
2024-01-07 12:00:00,0.4635
2024-01-07 13:00:00,0.3238
2024-01-07 14:00:00,0.0966
2024-01-07 15:00:00,0.0416
2024-01-07 16:00:00,0.0
2024-01-07 17:00:00,0.0255
2024-01-07 18:00:00,0.0
2024-01-07 19:00:00,0.0256
2024-01-07 20:00:00,0.0701
2024-01-07 21:00:00,0.0223
2024-01-07 22:00:00,0.0259
2024-01-07 23:00:00,0.1263
